""	"x"
"1271"	12999
"1272"	13000
"1273"	13001
"1274"	13014
"1275"	13028
"1276"	13030
"1277"	13032
"1278"	13035
"1279"	13044
"1280"	13047
"1281"	13049
"1282"	13060
"1283"	13063
"1284"	13065
"1285"	13077
"1286"	13080
"1287"	13089
"1288"	13090
"1289"	13093
"1290"	13104
"1291"	13121
"1292"	13133
"1293"	13134
"1294"	13141
"1295"	13148
"1296"	13162
"1297"	13166
"1298"	13175
"1299"	13180
"1300"	13183
"1301"	13189
"1302"	13201
"1303"	13205
"1304"	13209
"1305"	13226
"1306"	13238
"1307"	13243
"1308"	13262
"1309"	13264
"1310"	13270
"1311"	13271
"1312"	13279
"1313"	13285
"1314"	13291
"1315"	13296
"1316"	13304
"1317"	13305
"1318"	13310
"1319"	13335
"1320"	13340
"1321"	13344
"1322"	13347
"1323"	13350
"1324"	13358
"1325"	13362
"1326"	13373
"1327"	13398
"1328"	13401
"1329"	13404
"1330"	13409
"1331"	13410
"1332"	13424
"1333"	13432
"1334"	13437
"1335"	13446
"1336"	13450
"1337"	13454
"1338"	13457
"1339"	13473
"1340"	13474
"1341"	13489
"1342"	13499
"1343"	13530
"1344"	13535
"1345"	13545
"1346"	13557
"1347"	13579
"1348"	13580
"1349"	13583
"1350"	13587
"1351"	13590
"1352"	13601
"1353"	13617
"1354"	13622
"1355"	13648
"1356"	13653
"1357"	13662
"1358"	13666
"1359"	13691
"1360"	13694
"1361"	13708
"1362"	13713
"1363"	13715
"1364"	13727
"1365"	13743
"1366"	13752
"1367"	13754
"1368"	13762
"1369"	13766
"1370"	13784
"1371"	13786
"1372"	13794
"1373"	13799
"1374"	13812
"1375"	13826
"1376"	13838
"1377"	13840
"1378"	13842
"1379"	13845
"1380"	13856
"1381"	13857
"1382"	13859
"1383"	13864
"1384"	13880
"1385"	13881
"1386"	13891
"1387"	13902
"1388"	13906
"1389"	13908
"1390"	13915
"1391"	13916
"1392"	13931
"1393"	13939
"1394"	13942
"1395"	13947
"1396"	13961
"1397"	13968
"1398"	13976
"1399"	13977
"1400"	13979
"1401"	13985
"1402"	14006
"1403"	14010
"1404"	14015
"1405"	14025
"1406"	14029
"1407"	14062
"1408"	14073
"1409"	14076
"1410"	14077
"1411"	14081
"1412"	14083
"1413"	14084
"1414"	14095
"1415"	14102
"1416"	14106
"1417"	14110
"1418"	14122
"1419"	14123
"1420"	14124
"1421"	14130
"1422"	14152
"1423"	14153
"1424"	14156
"1425"	14160
"1426"	14161
"1427"	14164
"1428"	14167
"1429"	14191
"1430"	14204
"1431"	14212
"1432"	14214
"1433"	14223
"1434"	14236
"1435"	14270
"1436"	14288
"1437"	14293
"1438"	14307
"1439"	14310
"1440"	14332
"1441"	14334
"1442"	14335
"1443"	14338
"1444"	14345
"1445"	14350
"1446"	14361
"1447"	14374
"1448"	14377
"1449"	14378
"1450"	14383
"1451"	14387
"1452"	14390
"1453"	14393
"1454"	14432
"1455"	14434
"1456"	14436
"1457"	14463
"1458"	14470
"1459"	14480
"1460"	14487
"1461"	14491
"1462"	14511
"1463"	14515
"1464"	14516
"1465"	14529
"1466"	14536
"1467"	14537
"1468"	14544
"1469"	14552
"1470"	14559
"1471"	14563
"1472"	14568
"1473"	14577
"1474"	14593
"1475"	14603
"1476"	14630
"1477"	14635
"1478"	14638
"1479"	14659
"1480"	14661
"1481"	14663
"1482"	14668
"1483"	14670
"1484"	14673
"1485"	14685
"1486"	14740
"1487"	14747
"1488"	14755
"1489"	14770
"1490"	14772
"1491"	14787
"1492"	14789
"1493"	14794
"1494"	14804
"1495"	14812
"1496"	14828
"1497"	14835
"1498"	14840
"1499"	14846
"1500"	14849
"1501"	14867
"1502"	14883
"1503"	14889
"1504"	14894
"1505"	14916
"1506"	14919
"1507"	14925
"1508"	14949
"1509"	14951
"1510"	14953
"1511"	14956
"1512"	14959
"1513"	14960
"1514"	14963
"1515"	14971
"1516"	14982
"1517"	14983
"1518"	15003
"1519"	15023
"1520"	15028
"1521"	15035
"1522"	15038
"1523"	15041
"1524"	15062
"1525"	15075
"1526"	15083
"1527"	15087
"1528"	15098
"1529"	15105
"1530"	15156
"1531"	15160
"1532"	15161
"1533"	15163
"1534"	15166
"1535"	15173
"1536"	15176
"1537"	15180
"1538"	15187
"1539"	15188
"1540"	15209
"1541"	15212
"1542"	15216
"1543"	15222
"1544"	15228
"1545"	15229
"1546"	15230
"1547"	15240
"1548"	15241
"1549"	15257
"1550"	15258
"1551"	15259
"1552"	15285
"1553"	15287
"1554"	15289
"1555"	15298
"1556"	15327
"1557"	15329
"1558"	15352
"1559"	15355
"1560"	15362
"1561"	15387
"1562"	15429
"1563"	15471
"1564"	15482
"1565"	15484
"1566"	15489
"1567"	15497
"1568"	15506
"1569"	15507
"1570"	15508
"1571"	15512
"1572"	15530
"1573"	15542
"1574"	15544
"1575"	15550
"1576"	15554
"1577"	15555
"1578"	15558
"1579"	15564
"1580"	15567
"1581"	15579
"1582"	15584
"1583"	15594
"1584"	15598
"1585"	15601
"1586"	15604
"1587"	15616
"1588"	15630
"1589"	15633
"1590"	15642
"1591"	15652
"1592"	15654
"1593"	15696
"1594"	15698
"1595"	15717
"1596"	15726
"1597"	15728
"1598"	15753
"1599"	15765
"1600"	15766
"1601"	15784
"1602"	15785
"1603"	15787
"1604"	15791
"1605"	15810
"1606"	15817
"1607"	15821
"1608"	15822
"1609"	15823
"1610"	15826
"1611"	15828
"1612"	15835
"1613"	15843
"1614"	15847
"1615"	15859
"1616"	15868
"1617"	15876
"1618"	15884
"1619"	15915
"1620"	15930
"1621"	15935
"1622"	15938
"1623"	15941
"1624"	15948
"1625"	15955
"1626"	15956
"1627"	15971
"1628"	15974
"1629"	15975
"1630"	15977
"1631"	15984
"1632"	15991
"1633"	16004
"1634"	16015
"1635"	16033
"1636"	16034
"1637"	16041
"1638"	16061
"1639"	16062
"1640"	16074
"1641"	16102
"1642"	16105
"1643"	16109
"1644"	16112
"1645"	16136
"1646"	16155
"1647"	16167
"1648"	16169
"1649"	16184
"1650"	16203
"1651"	16213
"1652"	16228
"1653"	16230
"1654"	16236
"1655"	16266
"1656"	16267
"1657"	16271
"1658"	16278
"1659"	16311
"1660"	16318
"1661"	16337
"1662"	16341
"1663"	16343
"1664"	16358
"1665"	16383
"1666"	16400
"1667"	16407
"1668"	16413
"1669"	16429
"1670"	16447
"1671"	16454
"1672"	16460
"1673"	16476
"1674"	16487
"1675"	16488
"1676"	16508
"1677"	16518
"1678"	16535
"1679"	16542
"1680"	16545
"1681"	16552
"1682"	16553
"1683"	16572
"1684"	16575
"1685"	16590
"1686"	16601
"1687"	16602
"1688"	16605
"1689"	16624
"1690"	16626
"1691"	16632
"1692"	16635
"1693"	16644
"1694"	16675
"1695"	16680
"1696"	16683
"1697"	16684
"1698"	16689
"1699"	16733
"1700"	16739
"1701"	16747
"1702"	16748
"1703"	16750
"1704"	16751
"1705"	16767
"1706"	16774
"1707"	16775
"1708"	16783
"1709"	16786
"1710"	16789
"1711"	16803
"1712"	16812
"1713"	16818
"1714"	16826
"1715"	16827
"1716"	16857
"1717"	16875
"1718"	16881
"1719"	16885
"1720"	16895
"1721"	16902
"1722"	16926
"1723"	16930
"1724"	16938
"1725"	16958
"1726"	16962
"1727"	16964
"1728"	16973
"1729"	16981
"1730"	16999
"1731"	17013
"1732"	17015
"1733"	17020
"1734"	17029
"1735"	17046
"1736"	17052
"1737"	17053
"1738"	17103
"1739"	17111
"1740"	17117
"1741"	17124
"1742"	17128
"1743"	17139
"1744"	17140
"1745"	17149
"1746"	17159
"1747"	17170
"1748"	17173
"1749"	17178
"1750"	17182
"1751"	17207
"1752"	17237
"1753"	17245
"1754"	17263
"1755"	17276
"1756"	17277
"1757"	17279
"1758"	17297
"1759"	17304
"1760"	17312
"1761"	17324
"1762"	17335
"1763"	17337
"1764"	17338
"1765"	17341
"1766"	17348
"1767"	17359
"1768"	17361
"1769"	17385
"1770"	17396
"1771"	17397
"1772"	17408
"1773"	17427
"1774"	17451
"1775"	17455
"1776"	17463
"1777"	17478
"1778"	17479
"1779"	17483
"1780"	17485
"1781"	17503
"1782"	17515
"1783"	17517
"1784"	17553
"1785"	17575
"1786"	17584
"1787"	17592
"1788"	17595
"1789"	17597
"1790"	17607
"1791"	17617
"1792"	17634
"1793"	17639
"1794"	17641
"1795"	17645
"1796"	17652
"1797"	17663
"1798"	17665
"1799"	17672
"1800"	17694
"1801"	17695
"1802"	17729
"1803"	17731
"1804"	17737
"1805"	17739
"1806"	17742
"1807"	17747
"1808"	17757
"1809"	17762
"1810"	17774
"1811"	17775
"1812"	17805
"1813"	17809
"1814"	17824
"1815"	17827
"1816"	17835
"1817"	17842
"1818"	17864
"1819"	17890
"1820"	17902
"1821"	17909
"1822"	17912
"1823"	17937
"1824"	17951
"1825"	17967
"1826"	17971
"1827"	17979
"1828"	17982
"1829"	18000
"1830"	18003
"1831"	18014
"1832"	18023
"1833"	18024
"1834"	18029
"1835"	18038
"1836"	18043
"1837"	18045
"1838"	18051
"1839"	18063
"1840"	18064
"1841"	18084
"1842"	18102
"1843"	18104
"1844"	18108
"1845"	18112
"1846"	18117
"1847"	18142
"1848"	18152
"1849"	18178
"1850"	18183
"1851"	18186
"1852"	18207
"1853"	18214
"1854"	18217
"1855"	18227
"1856"	18229
"1857"	18234
"1858"	18238
"1859"	18239
"1860"	18255
"1861"	18264
"1862"	18274
"1863"	18275
"1864"	18278
"1865"	18288
"1866"	18301
"1867"	18321
"1868"	18329
"1869"	18335
"1870"	18336
"1871"	18339
"1872"	18341
"1873"	18348
"1874"	18371
"1875"	18377
"1876"	18386
"1877"	18410
"1878"	18424
"1879"	18426
"1880"	18441
"1881"	18450
"1882"	18459
"1883"	18471
"1884"	18497
"1885"	18510
"1886"	18520
